Property,Definition
U Value,Standard measure of conduction through a material. This value applies to the opaque section of the roof. 
K Value,Color correction factor for surfaces. From ASHRAE CLTD - 1.0 if dark colored or light in an industrial area. 0.83 if permanently medium colored. 0.65 if permanently light colored. 
Roof Construction,An overall approximation of the roof construction type
Percent Glass,Used to calculate skylight area. Percent of façade taken up by glazing. 
Window Type,The glazing construction type associated with a given roof type. 
